(absolute price),(absolute price)
Absolute,Absolute
absolute price,absolute price
Excl Tax Subtotal: ,Excl Tax Subtotal:
Subtotal: ,Subtotal:
Custom Option Absolute Price and Qty,Custom Option Absolute Price and Qty
Enable Tooltip,Enable Tooltip
Message in Tooltip box,Message in Tooltip box
Option Qty,Option Qty
Buy %1 for ,Buy %1 for
 each and , each and
save,save
Buy %1 with,Buy %1 with
 discount each, discount each
-- Please Select --,-- Please Select --
None,None
Option Title,Option Title
Delete Custom Option,Delete Custom Option
Sort Custom Options,Sort Custom Options
Input Type,Input Type
Required,Required
Change,Change
Compatible file extensions to upload,Compatible file extensions to upload
Maximum image width,Maximum image width
Maximum image height,Maximum image height
Description Type,Description Type
Short Description,Short Description
None,None
Tooltip,Tooltip
Small text,Small text
