"Guest Management","Guest Management"
"Guests","Guests"
"Guests Management","Guests Management"
"Guest To Customer","Guest To Customer"
"Bss Commerce","Bss Commerce"
"General Configuration","General Configuration"
"Enabled","Enabled"
"Auto Convert To Customer","Auto Convert To Customer"
"Customer Group","Customer Group"
"Assign Orders With The Same CheckOut Email To Customer","Assign Orders With The Same CheckOut Email To Customer"
"Notification Email","Notification Email"
"Enable Notification Email to Customer","Enable Notification Email to Customer"
"Email Sender","Email Sender"
"Email Templates","Email Templates"
"Require Fields","Require Fields"
"Customer Gender","Customer Gender"
"Customer Tax/VAT Number","Customer Tax/VAT Number"
"Customer Suffix","Customer Suffix"
"Customer Prefix","Customer Prefix"
"Customer Fax Number","Customer Fax Number"
"Customer Company","Customer Company"
"Customer Telephone Number","Customer Telephone Number"
"Date Of Birth","Date Of Birth"
"BSSCommerce Guest To Customer","BSSCommerce Guest To Customer"
"Assign Guest To Customer","Assign Guest To Customer"
"Guest Settings","Guest Settings"
