"Limit Product Quantity Per Month","Limit Product Quantity Per Month"
"Leave blank for unlimited quantities per month.","Leave blank for unlimited quantities per month."
"You have reached the order limit per month for %1.","You have reached the order limit per month for %1."
"(Maximum %1 accepted)","(Maximum %1 accepted)"
"Quick set allowed qty per month for products","Quick set allowed qty per month for products"
"Quick set allowed qty per month","Quick set allowed qty per month"
"Limit qty","Limit qty"
"Order Restriction","Order Restriction"
"Bss Order Restriction Config","Bss Order Restriction Config"
"Manage Order Restriction","Manage Order Restriction"
"Products %1 are not be updated. Please review the log.","Products %1 are not be updated. Please review the log."
