'Visibility','Visibility'
'A total of %1 record(s) have been deleted.','A total of %1 record(s) have been deleted.'
'A total of %1 record(s) have been updated.','A total of %1 record(s) have been updated.'
'Row data has been successfully saved.','Row data has been successfully saved.'
'Popular','Populars'
'You saved this tag.','You saved this tag.'
'The tag was removed by another user or does not exist.','The tag was removed by another user or does not exist.'
'Tag Key already exists!','Tag Key already exists!'
'Router already exists!','Router already exists!'
'Tag keyword(s) "%1" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(,) and space in this field, first character should be a letter.','Tag keyword(s) "%1" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(,) and space in this field, first character should be a letter.'
'Tag Key needs to be shorter than 80 characters!','Tag Key needs to be shorter than 80 characters!'
'You saved this tag.','You saved this tag.'
'Something went wrong while saving the tag.','Something went wrong while saving the tag.'
