"WhatsApp Number Verification","WhatsApp Number Verification"
"Mobile Number & OTP Required For Verification.","Mobile Number & OTP Required For Verification."
"Invalid OTP.","Invalid OTP."
"Update  WhatsApp Number","Update  WhatsApp Number"
"Your Mobile Number is Already Verified.","Your Mobile Number is Already Verified."
"You haven't configured the WhatsApp Configuration.","You haven't configured the WhatsApp Configuration."
"Please Configure all WhatsApp Configuration.","Please Configure all WhatsApp Configuration."
"Enter WhatsApp Number With Country code & without any sign.","Enter WhatsApp Number With Country code & without any sign."
Numeric,Numeric
"Alpha Numeric","Alpha Numeric"
"Please, Make sure you have entered ' . . ' as billing phone number.","Please, Make sure you have entered ' . . ' as billing phone number."
"* Required Fields","* Required Fields"
"Receive all your Order Related Notifications Directly on your WhatsApp.","Receive all your Order Related Notifications Directly on your WhatsApp."
"WhatsApp Number","WhatsApp Number"
otp,otp
"Get OTP","Get OTP"
"Resend OTP","Resend OTP"
"Verify WhatsApp Number","Verify WhatsApp Number"
"Please verify your WhatsApp Number before proceeding to checkout.","Please verify your WhatsApp Number before proceeding to checkout."
"Proceed to Checkout","Proceed to Checkout"
"Please, Enter Your WhatsApp Number.","Please, Enter Your WhatsApp Number."
"Make sure, you have entered valid WhatsApp Number.","Make sure, you have entered valid WhatsApp Number."
"Something Went Wrong, Try Again Later.","Something Went Wrong, Try Again Later."
"Please, Enter OTP.","Please, Enter OTP."
"Your Mobile Number is Verified Successfully! Now You Can Proceed to Checkout.","Your Mobile Number is Verified Successfully! Now You Can Proceed to Checkout."
"Get WhatsApp Updates","Get WhatsApp Updates"
mobilenumber,mobilenumber
"This is a required field.","This is a required field."
"Something went wrong, Try again later.","Something went wrong, Try again later."
"Verify Mobile Number","Verify Mobile Number"
"Make Sure, Your Existing Verified Number is ' . . ' Available on WhatsApp.","Make Sure, Your Existing Verified Number is ' . . ' Available on WhatsApp."
"I want to Receive Notification on WhatsApp. I accept the Terms and conditions","I want to Receive Notification on WhatsApp. I accept the Terms and conditions"
"Please, First Enter Your Mobile Number.","Please, First Enter Your Mobile Number."
"Please, Enter Valid Mobile Number.","Please, Enter Valid Mobile Number."
"Please Enter OTP.","Please Enter OTP."
"Your Mobile Number is Verified Successfully!","Your Mobile Number is Verified Successfully!"
