"Affiliate Links and Banners","Affiliate Links and Banners"
"Affiliate Campaigns","Affiliate Campaigns"
"Balance History","Balance History"
Guest,Guest
"My Credit","My Credit"
"Signup Affiliate","Signup Affiliate"
"My Withdrawal","My Withdrawal"
"You can request withdraw when your balance equal or greater than %1","You can request withdraw when your balance equal or greater than %1"
"You can withdraw a minimum %1","You can withdraw a minimum %1"
"You can withdraw a maximum %1","You can withdraw a maximum %1"
"Save Account","Save Account"
"Save and Continue Edit","Save and Continue Edit"
"Edit Account '%1'","Edit Account '%1'"
"New Account","New Account"
"Account Information","Account Information"
Customer,Customer
"Affiliate Group","Affiliate Group"
Balance,Balance
"Holding Balance","Holding Balance"
"Referred By","Referred By"
"Referral Code","Referral Code"
Status,Status
"Email Notification","Email Notification"
"Affiliate account Id","Affiliate account Id"
Account,Account
Id,Id
Title,Title
"Action Type","Action Type"
Amount,Amount
"Store ","Store "
"Create at","Create at"
Action,Action
View,View
"Transaction Logs","Transaction Logs"
"Save Campaign","Save Campaign"
"Edit Campaign ""%1""","Edit Campaign ""%1"""
"New Campaign","New Campaign"
Actions,Actions
"Apply the rule only to cart items matching the following conditions (leave blank for all items","Apply the rule only to cart items matching the following conditions (leave blank for all items"
Commission,Commission
"Pay Per Commission","Pay Per Commission"
"Add Commission Type and Value","Add Commission Type and Value"
Commissions,Commissions
Discounts,Discounts
Discount,Discount
Apply,Apply
"Discount Value","Discount Value"
"Apply Discount On Tax","Apply Discount On Tax"
"Discount Description","Discount Description"
"Campaign Information","Campaign Information"
Name,Name
Description,Description
"Website IDs","Website IDs"
"Affiliate Groups","Affiliate Groups"
Display,Display
"Active From Date","Active From Date"
"Active To Date","Active To Date"
Priority,Priority
" If the conditions are met, the campaign with the lowest priority will be applied."," If the conditions are met, the campaign with the lowest priority will be applied."
"Campaign Referral Link","Campaign Referral Link"
"Referral Link","Referral Link"
"Please fill in the referral link you want to create for the campaign.
            If left blank will default to the only link placed in the Configuration section.","Please fill in the referral link you want to create for the campaign.
            If left blank will default to the only link placed in the Configuration section."
"Percentage of product price","Percentage of product price"
"Fixed amount","Fixed amount"
"Tier 1","Tier 1"
Add,Add
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
Condition,Condition
Conditions,Conditions
ID,ID
"First Name","First Name"
"Last Name","Last Name"
Email,Email
Group,Group
"Save Group","Save Group"
"New Group","New Group"
"Group Information","Group Information"
label,label
"Are you sure you want to cancel this transaction?","Are you sure you want to cancel this transaction?"
Cancel,Cancel
"Are you sure you want to complete this transaction?","Are you sure you want to complete this transaction?"
Complete,Complete
"View Transaction '%1'","View Transaction '%1'"
"Transaction Information","Transaction Information"
"Affiliate Account","Affiliate Account"
Type,Type
Order,Order
"Created by","Created by"
"This transaction will be holed to","This transaction will be holed to"
"Created Time","Created Time"
"Add or subtract affiliate's balance. E.g: 99 or -99","Add or subtract affiliate's balance. E.g: 99 or -99"
"Holding Transaction For","Holding Transaction For"
Transaction,Transaction
Save,Save
"Edit Withdraw '%1'","Edit Withdraw '%1'"
"New Withdraw","New Withdraw"
"Withdraw Information","Withdraw Information"
"Include fee.","Include fee."
Fee,Fee
"If empty, configuration value will be used.","If empty, configuration value will be used."
"Payment Method","Payment Method"
"Withdraw Description","Withdraw Description"
"Payment Detail","Payment Detail"
"If transaction is pending, you can complete by massaction on grid.","If transaction is pending, you can complete by massaction on grid."
"Transfer Amount","Transfer Amount"
"Real amount will be transfer to affiliate.","Real amount will be transfer to affiliate."
Withdraw,Withdraw
"Bank Transfer Infomation","Bank Transfer Infomation"
"Offline Address","Offline Address"
"Paypal Email","Paypal Email"
"Paypal transaction id","Paypal transaction id"
"Affiliate Discount","Affiliate Discount"
"Cannot find item.","Cannot find item."
"Saved successfully!","Saved successfully!"
"Something went wrong while saving the account.","Something went wrong while saving the account."
"Total of %1 email(s) has been sent successfully.","Total of %1 email(s) has been sent successfully."
"There is an error occurred while sending email to: %1. Please check and try again later.","There is an error occurred while sending email to: %1. Please check and try again later."
"Refer friends feature not available now. Please use this feature later.","Refer friends feature not available now. Please use this feature later."
Successfully,Successfully
"Coupon prefix is exists.","Coupon prefix is exists."
"Your account is not active. Please contact us.","Your account is not active. Please contact us."
"You have to agree with term and conditions.","You have to agree with term and conditions."
"Congratulations! You have successfully registered.","Congratulations! You have successfully registered."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!"
"Something went wrong while saving the Account.","Something went wrong while saving the Account."
"Email sent successfully.","Email sent successfully."
"Error sending email: %1","Error sending email: %1"
"The withdraw has been canceled successfully.","The withdraw has been canceled successfully."
"Something went wrong while saving the request.","Something went wrong while saving the request."
"An error occur. Please contact us.","An error occur. Please contact us."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Your request has been sent successfully. We will review your request and inform you once it's approved!"
"Your balance is not enough for request withdraw.","Your balance is not enough for request withdraw."
"The withdraw amount have to equal or greater than %1","The withdraw amount have to equal or greater than %1"
"The withdraw amount have to equal or less than %1","The withdraw amount have to equal or less than %1"
"This account no longer exists.","This account no longer exists."
"The Account has been deleted.","The Account has been deleted."
"Account to delete was not found.","Account to delete was not found."
Accounts,Accounts
"Edit Account ""%1""","Edit Account ""%1"""
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"Can't remove the Parent Affiliate ID %1. Please remove child before.","Can't remove the Parent Affiliate ID %1. Please remove child before."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The customer ""%1"" has registed as an affiliate already.","The customer ""%1"" has registed as an affiliate already."
"Cannot find account referred.","Cannot find account referred."
"The Account has been created successfully.","The Account has been created successfully."
"The Account has been saved successfully.","The Account has been saved successfully."
"This campaign no longer exists.","This campaign no longer exists."
"The Campaign has been deleted.","The Campaign has been deleted."
"Campaign to delete was not found.","Campaign to delete was not found."
Campaigns,Campaigns
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the Campaign.","Something went wrong while saving the Campaign."
"The Campaign has been saved successfully.","The Campaign has been saved successfully."
Tier,Tier
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
Promotions,Promotions
Groups,Groups
"Something went wrong while saving the Group.","Something went wrong while saving the Group."
"Cannot remove this group because a customer has already joined!","Cannot remove this group because a customer has already joined!"
"The Group has been created successfully.","The Group has been created successfully."
"The Transaction has been canceled.","The Transaction has been canceled."
"The Transaction has been completed.","The Transaction has been completed."
Transactions,Transactions
"A total of %1 record(s) have been checked.","A total of %1 record(s) have been checked."
"Account balance is not enough to create this transaction.","Account balance is not enough to create this transaction."
"The Transaction has been created.","The Transaction has been created."
"Something went wrong while saving the Transaction.","Something went wrong while saving the Transaction."
"View Transaction ""%1""","View Transaction ""%1"""
"This withdrawal no longer exists.","This withdrawal no longer exists."
Withdraws,Withdraws
"Edit Withdraw ""#%1""","Edit Withdraw ""#%1"""
"A total of %1 record(s) have been approved successfully.","A total of %1 record(s) have been approved successfully."
"Module Store Credit (v4.0.4 or above for M2.4 | v1.1.9 or above for M2.3 or below) is required for this store credit payment","Module Store Credit (v4.0.4 or above for M2.4 | v1.1.9 or above for M2.3 or below) is required for this store credit payment"
"A total of %1 record(s) have been cancelled.","A total of %1 record(s) have been cancelled."
"The Withdraw has been saved.","The Withdraw has been saved."
"Something went wrong while saving the Withdraw.","Something went wrong while saving the Withdraw."
"My Affiliate","My Affiliate"
"Something went wrong when creating transaction!","Something went wrong when creating transaction!"
"My Credit (%1)","My Credit (%1)"
Active,Active
Inactive,Inactive
"Need Approved","Need Approved"
"The extension is disabled.","The extension is disabled."
"Requested entity doesn't exist","Requested entity doesn't exist"
"isSubscribe is required","isSubscribe is required"
"contacts is required","contacts is required"
"url is required","url is required"
"Amount required","Amount required"
"Payment method required","Payment method required"
"Amount must great than zero","Amount must great than zero"
"Payment method doesn't exist","Payment method doesn't exist"
"Paypal email required","Paypal email required"
"Invalid paypal email address.","Invalid paypal email address."
"Affiliate account doesn't exist","Affiliate account doesn't exist"
"Could not save the withdraw: %1","Could not save the withdraw: %1"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount for product","Fixed amount discount for product"
"Allow Guest","Allow Guest"
"Affiliate Member Only","Affiliate Member Only"
Enabled,Enabled
Disabled,Disabled
"Pay Per Sale","Pay Per Sale"
"Pay Per Lead","Pay Per Lead"
"Pay Per Click","Pay Per Click"
"-- Please Select --","-- Please Select --"
"Category page","Category page"
"Product page","Product page"
"Inline Share Button","Inline Share Button"
"Sticky Share Buttons","Sticky Share Buttons"
"Inline and Sticky Share Buttons","Inline and Sticky Share Buttons"
"Footer Link","Footer Link"
"Top Link","Top Link"
"Affiliate Code","Affiliate Code"
"Affiliate ID","Affiliate ID"
Hash,Hash
Parameter,Parameter
"The coupon code isn't valid. Verify the code and try again.","The coupon code isn't valid. Verify the code and try again."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"Cart isn't assigned to correct store","Cart isn't assigned to correct store"
"Affiliate coupon codes are not eligible for discounts. Please verify the code and try again..","Affiliate coupon codes are not eligible for discounts. Please verify the code and try again.."
"Affiliate coupon can be used only for first order.","Affiliate coupon can be used only for first order."
"Bank Transfer","Bank Transfer"
Address,Address
"Paypal transaction Id","Paypal transaction Id"
"Something went wrong while saving object. Coupon exist","Something went wrong while saving object. Coupon exist"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Affiliate Campaign","Affiliate Campaign"
"Campaign %1","Campaign %1"
"Affiliate account must be existed.","Affiliate account must be existed."
"Transaction amount cannot be zero.","Transaction amount cannot be zero."
"Account balance has been reached the limit. Please contact to store owner.","Account balance has been reached the limit. Please contact to store owner."
"Invalid transaction data for canceling.","Invalid transaction data for canceling."
"Account balance is not enough for canceling.","Account balance is not enough for canceling."
"Total paid cannot be negative.","Total paid cannot be negative."
"Maximum amount allowed in account balance is %1.","Maximum amount allowed in account balance is %1."
"Action model is invalid for %1","Action model is invalid for %1"
"Changed by Admin","Changed by Admin"
"Get commission for order %1","Get commission for order %1"
"Taken back commission for refunding order %1","Taken back commission for refunding order %1"
"Subtract balance for withdraw request","Subtract balance for withdraw request"
"On Hold","On Hold"
Completed,Completed
Cancelled,Cancelled
Admin,Admin
"The amount request is not enough to pay for fee.","The amount request is not enough to pay for fee."
"The amount request is not enough to withdraw","The amount request is not enough to withdraw"
"Cannot create transaction for this withdraw.","Cannot create transaction for this withdraw."
"Invalid withdraw data for canceling.","Invalid withdraw data for canceling."
"Some the withdraw had cancelled.","Some the withdraw had cancelled."
"Invalid withdraw data for approved.","Invalid withdraw data for approved."
Pending,Pending
"Affiliate Welcome homepage content","Affiliate Welcome homepage content"
"Affiliate referfriend description","Affiliate referfriend description"
"Affiliate terms & conditions","Affiliate terms & conditions"
"Affiliate Policy Content","Affiliate Policy Content"
"Delete ""%1""","Delete ""%1"""
"Are you sure?","Are you sure?"
"Type (1st Order)","Type (1st Order)"
"Value (1st Order)","Value (1st Order)"
"Type (Next orders)","Type (Next orders)"
"Value (Next orders)","Value (Next orders)"
No,No
Yes,Yes
"Referral Url and Code","Referral Url and Code"
"The commission rate for you and discount policy for those you choose to refer will correspond with any available affiliate campaign","The commission rate for you and discount policy for those you choose to refer will correspond with any available affiliate campaign"
"Create Referal Link","Create Referal Link"
"Refer Code","Refer Code"
"An auto-generated suffix code for each person you send the referral link to, or you can create a unique one on your own ","An auto-generated suffix code for each person you send the referral link to, or you can create a unique one on your own "
Edit,Edit
