"Collection name is required field !!","Collection name is required field !!"
"Collection name is required field.","Collection name is required field."
"Collection Id is required field.","Collection Id is required field."
"RequestBody Ids field is required field.","RequestBody Ids field is required field."
"RequestBody QueryEmbedding field is required field.","RequestBody QueryEmbedding field is required field."
"Text is required field for embedding","Text is required field for embedding"
"Provided String is not valid Base64","Provided String is not valid Base64"
"Image's Base64 is required field for embedding","Image's Base64 is required field for embedding"
"Text is required field for embedding and extract data","Text is required field for embedding and extract data"
"Delete ChromaDB Collections","Delete ChromaDB Collections"
"All Collections deleted successfully","All Collections deleted successfully"
"No Collection found !!","No Collection found !!"
"Remove All Collections","Remove All Collections"
"Are you sure you want to remove all the ChromaDB collections ?","Are you sure you want to remove all the ChromaDB collections ?"
"Please enter server name with protocol","Please enter server name with protocol"
"General Configuration","General Configuration"
Webkul,Webkul
"AI General Configuration","AI General Configuration"
"General Settings","General Settings"
"ChromaDB Endpoint","ChromaDB Endpoint"
"Ex: http://example.com","Ex: http://example.com"
"Please specify the port number you are using for Chroma DB Ex:- http://example.com:8000","Please specify the port number you are using for Chroma DB Ex:- http://example.com:8000"
"LLM Server Endpoint","LLM Server Endpoint"
"Please specify the port number you are using for LLM Ex:- http://example.com:8000","Please specify the port number you are using for LLM Ex:- http://example.com:8000"
"API KEY","API KEY"
