"Orignal image doesn't exist.","Orignal image doesn't exist."
"Cropped image doesn't exist.","Cropped image doesn't exist."
"File name doesn't exist.","File name doesn't exist."
"Image Search Result","Image Search Result"
Author:,Author:
"Webkul Software Private Limited","Webkul Software Private Limited"
Webkul,Webkul
"Click here","Click here"
Ticket/Customisations:,Ticket/Customisations:
Services:,Services:
"Version: %1","Version: %1"
"Search Settings","Search Settings"
"Search By Image","Search By Image"
"AI Search By Image","AI Search By Image"
"Browse Image","Browse Image"
Search,Search
"Please enter a valid price range.","Please enter a valid price range."
"Try Again","Try Again"
"Save Changes","Save Changes"
"AI Image Search Setting","AI Image Search Setting"
"Number of results","Number of results"
"Number of product items.","Number of product items."
Distance,Distance
"Value must be greater than 0 and less than or equal to 10 (Represents search accuracy where 1 is highly accurate).","Value must be greater than 0 and less than or equal to 10 (Represents search accuracy where 1 is highly accurate)."
