"Select Model","Select Model"
"3-D Model","3-D Model"
"Delete","Delete"
"Webkul","Webkul"
"WebAR Configuration","WebAR Configuration"
"General Settings","General Settings"
"Enable WebAR","Enable WebAR"
"allowed extension .usdz","allowed extension .usdz"
"Upload a texture file for variant product","Upload a texture file for variant product"
"allowed extension .glb","allowed extension .glb"
"WebAR Product Information","WebAR Product Information"
"Author:","Author:"
"Version:","Version:"
"User Guide:","User Guide:"
"Click Here","Click Here"
"Store Extension:","Store Extension:"
"Ticket/Customisations:","Ticket/Customisations:"
"Services:","Services:"
"Store Reviews:","Store Reviews:"
"Show Product Image Gallery with 3D Model","Show Product Image Gallery with 3D Model"
"3D Model Thumbnail in Image Gallery","3D Model Thumbnail in Image Gallery"
"Product Main Image","Product Main Image"
"3D Model Poster Image","3D Model Poster Image"
"3D Model Thumbnail Image","3D Model Thumbnail Image"
"Model-Viewer Staging And Cameras Attributes Settings","Model-Viewer Staging And Cameras Attributes Settings"
"Auto Rotate","Auto Rotate"
"Auto Rotate Delay","Auto Rotate Delay"
"Interpolation Decay","Interpolation Decay"
"Disable Zoom","Disable Zoom"
"Model-Viewer Loading Attributes Settings","Model-Viewer Loading Attributes Settings"
"Model-Viewer Lighting And Skybox Attributes Settings","Model-Viewer Lighting And Skybox Attributes Settings"
"Apply SkyBox Configuration","Apply SkyBox Configuration"
"Skybox Image","Skybox Image"
"Apply Environment Image Configuration","Apply Environment Image Configuration"
"Environment Image","Environment Image"
"Environment Image Url(jpg or hdr image)","Environment Image Url(jpg or hdr image)"
"Shadow Intensity","Shadow Intensity"
"Shadow Softness","Shadow Softness"
"Exposure","Exposure"
"Neutral","Neutral"
"Legacy","Legacy"
"URL to a .hdr or .jpg file","URL to a .hdr or .jpg file"
"Allows the auto-rotation of the model.","Allows the auto-rotation of the model."
"Sets the delay before auto-rotation begins of 3D Model.","Sets the delay before auto-rotation begins of 3D Model."
"Enter numeric value(in milliseconds).","Enter numeric value(in milliseconds)."
"Controls the rate of interpolation when the camera or model moves, due to either user interaction or attribute changes. The camera automatically interpolates between orbits (even when controls are disabled)","Controls the rate of interpolation when the camera or model moves, due to either user interaction or attribute changes. The camera automatically interpolates between orbits (even when controls are disabled)"
"Enter positive numeric value > 0 (zero) (in milliseconds).","Enter positive numeric value > 0 (zero) (in milliseconds)."
"Disables user zoom so that wheel and pinch interactions have the browser's default behavior.","Disables user zoom so that wheel and pinch interactions have the browser's default behavior."
"Displays an image or poster until 3D Model loaded on Product Page. Allowed file types: jpg, jpeg, gif, png, webp.","Displays an image or poster until 3D Model loaded on Product Page. Allowed file types: jpg, jpeg, gif, png, webp."
"It links to an equirectangular projection image which is used as the skybox, and applied as an environment map to the model. It supports hdr (recommended), png, and jpg images.","It links to an equirectangular projection image which is used as the skybox, and applied as an environment map to the model. It supports hdr (recommended), png, and jpg images."
"It used to set environmental lighting without changing the background. Normally if skybox-image is set, that image will also be used for the environment-image. If neither is specified, default 'neutral' lighting will be applied. If 'legacy' is specified without a skybox, then our old default environment is applied instead.","It used to set environmental lighting without changing the background. Normally if skybox-image is set, that image will also be used for the environment-image. If neither is specified, default 'neutral' lighting will be applied. If 'legacy' is specified without a skybox, then our old default environment is applied instead."
"Allows to Control the opacity of the shadow. Set to 0 to turn off the shadow entirely.","Allows to Control the opacity of the shadow. Set to 0 to turn off the shadow entirely."
"Enter any value between 0 and 1.","Enter any value between 0 and 1."
"Allows to Control the blurriness of the shadow. Set to 0 for hard shadows. Softness should not be changed every frame as it incurs a performance cost. Softer shadows render faster.","Allows to Control the blurriness of the shadow. Set to 0 for hard shadows. Softness should not be changed every frame as it incurs a performance cost. Softer shadows render faster."
"Enter any positive number.","Enter any positive number."
"Allows to Control the exposure of both the model and skybox, for use primarily with HDR environments.","Allows to Control the exposure of both the model and skybox, for use primarily with HDR environments."
"Allowed file types: jpg, jpeg, gif, png, webp. Recommended size is Product thumbnail size (88 x 110 px).","Allowed file types: jpg, jpeg, gif, png, webp. Recommended size is Product thumbnail size (88 x 110 px)."
"AR model File (Android)","AR model File (Android)"
"AR model File (ios)","AR model File (iOS)"
"WebAr Model","WebAR Model"
"Delete ","Delete"
"AR Button Settings","AR Button Settings"
"AR Button Type","AR Button Type"
"AR Custom Button Text","AR Custom Button Text"
"View in your Space","View in your Space"
"Default AR Button","Default AR Button"
"Custom AR Button","Custom AR Button"
"Clicking on the 3D model focuses on that point while clicking off the model returns to the default center. In model-viewer, there is a disable-pan attribute to turn all of this off, but here we demonstrate only turning off the click/tap behaviors via the disable-tap attribute.","Clicking on the 3D model focuses on that point while clicking off the model returns to the default center. In model-viewer, there is a disable-pan attribute to turn all of this off, but here we demonstrate only turning off the click/tap behaviors via the disable-tap attribute."
"If enabled, then you need to upload GLB files for associated products only and if disabled, then upload the GLB (which has configured all variants) file for the main product only.","If enabled, then you need to upload GLB files for associated products only and if disabled, then upload the GLB (which has configured all variants) file for the main product only."
"Please choose attribute","Please choose attribute"
"Model Variant Attribute","Model Variant Attribute"
"Please select Model Variant Attribute which will responsible for changing the variant in Main GLB","Please select Model Variant Attribute which will responsible for changing the variant in Main GLB"
"Please choose Model Variant Attribute","Please choose Model Variant Attribute"
"Model Variant Attribute must be one of used super attributes: %1","Model Variant Attribute must be one of used super attributes: %1"
"WebAr","WebAr"
"Configuration Settings","Configuration Settings"
